MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CE21E22,400635.863133824,62955.812605544,218369443.400335,-400635.863133824,-62955.812605544,222321244.838473
CF21F22,354582.885652387,30822.4507967633,90665255.6456966,-354582.885652387,-30822.4507967633,125091899.931646
CG21G22,265417.114347612,128019.904555493,439351531.170015,-265417.114347612,-128019.904555493,456787800.718436
BA1B1,-69181.004976764,211246.099924067,-408487192.585188,69181.004976764,511153.900075933,-1166028758.21211
BB1C1,-88202.5435722295,344000,0,88202.5435722295,344000,0
BC1D1,-185686.694507652,171643.828044599,-535891472.71414,185686.694507652,516356.171955401,-1187670246.83987
BD1E1,-45830.5968397387,292047.189695766,323683321.147857,45830.5968397387,395952.810304234,-843211424.190193
BE1F1,91687.9221667622,344000,0,-91687.9221667622,344000,0
BF1G1,-4335.17005307944,183575.004356273,-553306194.182559,4335.17005307944,538824.995643727,-1311756260.07658
BA2B2,32788.1804113518,261014.168899378,-99550079.977276,-32788.1804113518,461385.831100622,-952401146.57926
BB2C2,8421.81818219366,344000,0,-8421.81818219366,344000,0
BC2D2,13092.5628631413,198281.866003343,-318033949.455483,-13092.5628631413,489718.133996657,-1139147390.51109
BD2E2,-5092.36540279585,260210.352499737,152145516.06258,5092.36540279585,427789.647500263,-990041991.065214
BE2F2,-15854.4479540038,344000,0,15854.4479540038,344000,0
BF2G2,-498.863299557073,209597.173469224,-368464056.623579,498.863299557073,512802.826530776,-1223365621.94957
BA3B3,26549.4527863719,280559.88657934,-2722631.38677001,-26549.4527863719,441840.11342066,-843998559.530155
BB3C3,10776.470499836,344000,0,-10776.470499836,344000,0
BC3D3,2502.12367435603,205980.56005919,-287200474.35924,-2502.12367435603,482019.43994081,-1092993925.04886
BD3E3,-3370.16819856561,263458.549777533,161340614.490362,3370.16819856561,424541.450222467,-966755116.715035
BE3F3,-4408.26635321011,344000,0,4408.26635321011,344000,0
BF3G3,-3257.21989463207,206015.100723249,-394272117.42905,3257.21989463207,516384.899276751,-1235169324.97684
BA4B4,28130.5048362069,297699.409767705,88021708.3061008,-28130.5048362069,424700.590232295,-754777905.745194
BB4C4,12035.7345427663,344000,0,-12035.7345427663,344000,0
BC4D4,5211.68355049619,213985.602349225,-247152169.058073,-5211.68355049619,474014.397650775,-1052991807.44968
BD4E4,-1592.71803414779,264011.99182809,157184613.131381,1592.71803414779,423988.00817191,-957064694.850479
BE4F4,-3757.18795626363,344000,0,3757.18795626363,344000,0
BF4G4,-1734.05973287857,203831.93301432,-404751104.788893,1734.05973287857,518568.06698568,-1247613598.56075
BA5B5,28968.3653230798,313919.811600042,173075775.093346,-28968.3653230798,408480.188399958,-669517753.292904
BB5C5,13967.946037062,344000,0,-13967.946037062,344000,0
BC5D5,7143.29043270549,221526.723198894,-209485642.253114,-7143.29043270549,466473.276801106,-1015247125.75795
BD5E5,142.346799408049,265336.86137715,157329423.443586,-142.346799408049,422663.13862285,-943960809.672088
BE5F5,-2466.40335666155,344000,0,2466.40335666155,344000,0
