MEMBERID,FXJ,FYJ,MZJ,FXK,FYK,MZK
CA20A21,742621.023398891,-190840.956212178,-519836738.964407,-742621.023398891,190840.956212178,-529788520.202568
CB20B21,943778.976601124,-31465.2823941148,-90209432.2518808,-943778.976601124,31465.2823941148,-82849620.9157489
CC20C21,1049380.75631687,-60655.3649596016,-166025519.514483,-1049380.75631687,60655.3649596016,-167578987.763323
CD20D21,1117796.86993915,30743.7492169093,83586004.1141457,-1117796.86993915,-30743.7492169093,85504616.5788601
CE20E21,1096822.37374404,101793.331927337,275126564.373464,-1096822.37374404,-101793.331927337,284736761.226892
CF20F21,948768.793204427,34461.3411225727,95189348.1920095,-948768.793204427,-34461.3411225727,94348027.9821425
CG20G21,737631.206795499,193963.181299799,525146674.122306,-737631.206795499,-193963.181299799,541650823.02659
CA21A22,268913.860591307,-133436.778646008,-458818063.9887,-268913.860591307,133436.778646008,-475239386.533359
CB21B22,351086.139408678,-36175.0220068386,-109869004.372268,-351086.139408678,36175.0220068386,-143356149.675605
CC21C22,386391.331248134,-39995.6185638352,-143363527.930789,-386391.331248134,39995.6185638352,-136605802.016057
CD21D22,412971.756097436,15843.7911473155,54231784.8617678,-412971.756097436,-15843.7911473155,56674753.1694441
CE21E22,400636.912654519,62973.796592029,218429713.233724,-400636.912654519,-62973.796592029,222386862.910477
CF21F22,354601.16256234,30796.156037222,90577272.3602323,-354601.16256234,-30796.156037222,124995819.900323
CG21G22,265398.837437674,127993.675440549,439263754.888475,-265398.837437674,-127993.675440549,456691973.195362
BA1B1,-49031.8179061562,146276.81388675,-767302654.064317,49031.8179061562,576123.18611325,-1489390800.12481
BB1C1,-10847.7388083041,344000,0,10847.7388083041,344000,0
BC1D1,-79606.5598005876,106423.636715438,-888452662.580129,79606.5598005876,581576.363284562,-1487310970.26549
BD1E1,-33726.4919726849,198746.980263436,-68239313.0699651,33726.4919726849,489253.019736564,-1384290884.29567
BE1F1,-4496.22719692439,344000,0,4496.22719692439,344000,0
BF1G1,-69888.2708929032,120603.501516306,-901872801.10597,69888.2708929032,601796.498483694,-1624390432.97282
BA2B2,35806.1073760539,257800.485117407,-113605985.409696,-35806.1073760539,464599.514882592,-972088920.857526
BB2C2,7889.7995390296,344000,0,-7889.7995390296,344000,0
BC2D2,13301.4140470773,193989.015212983,-337571586.149998,-13301.4140470773,494010.984787017,-1162538261.72017
BD2E2,-15129.624651596,258564.558204515,138641856.833335,15129.624651596,429435.441795485,-992996274.788186
BE2F2,-11233.7458648682,344000,0,11233.7458648682,344000,0
BF2G2,4314.95461179316,205718.469367413,-386959754.749485,-4314.95461179316,516681.530632587,-1245596316.89268
BA3B3,26184.4513809681,280513.164154033,-3344081.12189305,-26184.4513809681,441886.835845967,-843867695.260763
BB3C3,10979.0036874413,344000,0,-10979.0036874413,344000,0
